number_of_slot,number_of_day,number_of_weekday,number_of_hour,stream.1,stream.2,stream.3,stream.4,stream.5,advertising_earnings.1,advertising_earnings.2,advertising_earnings.3,advertising_earnings.4,advertising_earnings.5,bandwidth_available_OTT
1,1,1,1,0.0,0.172274814,1.391847471,0.332011467,0.0,4.9000158459233285,2.292027408204291,2.525402851296798,2.0313511670404027,4.6318651011211625,4.922945296
2,1,1,2,0.0,0.317042299,0.4031323570000001,0.485143436,0.0,4.460343926785711,0.5202262951898344,2.256378104173931,1.9555114986172435,4.639939933758712,6.721122951
3,1,1,3,0.0,0.53384823,1.499822419,0.217973865,0.0,3.687253176370272,1.0167035647512699,2.497859505089961,1.9139512976605708,4.6300278674338164,6.87451787
4,1,1,4,0.0,0.753272037,1.369227595,0.21169274,0.0,2.8057766545673317,1.4745426550562135,2.531898331019814,1.9547259243691908,4.635023977511762,6.91420268
5,1,1,5,0.0,0.59076019,0.813470182,0.233558907,0.0,3.93187984921048,0.4985765292052755,2.5643731233932394,1.968410878385516,4.620666268957137,6.862954136
6,1,1,6,0.0,0.441048052,1.959248645,0.26062246,0.0,3.952174340237472,0.09113977345076993,2.3294541329942784,1.9510405648733482,4.639993084990506,7.552110742999999
7,1,1,7,0.0,0.760387542,0.471333245,0.925998137,0.0,4.254028795465986,0.12489449449905865,2.2546972762304307,1.9807175174468723,4.630399563443526,5.787219012
8,1,1,8,0.0,0.37386232,0.44687705,1.134210931,0.0,4.529783901152175,1.3466351753581385,2.2114179120378097,1.9374790738683458,4.607635066298076,5.249229648
9,1,1,9,0.0,0.712061225,0.256850054,0.457551538,0.0,4.449124273869874,0.17131353473676286,2.3221066683890803,1.9220471398499799,4.624667867869678,3.682269072
10,1,1,10,0.0,1.5555343169999998,0.092287592,0.8163027009999999,0.0,4.029646675554622,1.9417160336896215,2.297593134633506,1.9144160981080376,4.620851050269728,2.815500044
11,1,1,11,0.0,0.486099747,0.398822248,0.379951193,0.0,3.324428125979954,0.01880669716710454,2.3166534230294764,2.058269290607833,4.631457966019263,1.964142313
12,1,1,12,0.0,0.5300593060000001,0.424701627,0.292139971,0.0,3.311408248830812,0.715493148722455,2.357903207321296,2.0187836884188584,4.6346958783650125,1.302184534
13,1,1,13,0.0,1.048045308,0.122319932,0.092850581,0.0,4.971844886173273,0.9489229177100824,2.2515708839676067,2.0295052799471747,4.623093130088024,0.814963065
14,1,1,14,0.0,1.563565611,0.397055329,0.146996822,0.0,4.427553136764035,1.4647957238273437,2.50000440675101,1.939535188211857,4.6329144694985445,0.570860811
15,1,1,15,0.0,1.897619775,0.493708074,0.05588438,0.0,4.0503501809466265,0.30677973440345285,2.3439795290282257,2.0446062349145717,4.625465802428688,0.818968156
